iter	Passed	Remaining
631	7595	4422
632	7607	4410
633	7620	4399
634	7633	4387
635	7644	4375
636	7657	4363
637	7668	4351
638	7679	4338
639	7693	4327
640	7706	4316
641	7718	4304
642	7729	4291
643	7742	4280
644	7756	4269
645	7774	4260
646	7787	4248
647	7801	4237
648	7813	4226
649	7823	4212
650	7836	4201
651	7849	4189
652	7861	4177
653	7870	4163
654	7881	4151
655	7894	4139
656	7905	4127
657	7921	4117
658	7933	4105
659	7944	4092
660	7955	4080
661	7968	4068
662	7980	4056
663	7994	4045
664	8007	4033
665	8017	4020
666	8029	4008
667	8042	3997
668	8055	3985
669	8067	3973
670	8079	3961
671	8092	3950
672	8102	3937
673	8112	3923
674	8122	3910
675	8134	3898
676	8147	3887
677	8164	3877
678	8174	3864
679	8189	3853
680	8204	3843
681	8219	3832
682	8231	3820
683	8243	3808
684	8251	3794
685	8262	3781
686	8276	3770
687	8284	3756
688	8295	3744
689	8307	3732
690	8317	3719
691	8332	3708
692	8344	3696
693	8357	3684
694	8373	3674
695	8384	3662
696	8399	3651
697	8412	3639
698	8426	3628
699	8442	3618
700	8456	3607
701	8473	3597
702	8486	3585
703	8497	3572
704	8508	3560
705	8520	3548
706	8531	3535
707	8542	3523
708	8556	3511
709	8568	3499
710	8580	3487
711	8592	3475
712	8608	3465
713	8622	3453
714	8633	3441
715	8646	3429
716	8663	3419
717	8675	3407
718	8693	3397
719	8708	3386
720	8720	3374
721	8731	3362
722	8743	3350
723	8757	3338
724	8768	3325
725	8783	3315
726	8796	3303
727	8807	3290
728	8820	3278
729	8836	3268
730	8848	3255
731	8861	3244
732	8876	3233
733	8888	3221
734	8902	3209
735	8914	3197
736	8928	3186
737	8942	3174
738	8955	3162
739	8973	3152
740	8984	3140
741	8999	3129
742	9010	3116
743	9024	3105
744	9037	3093
745	9049	3081
746	9063	3069
747	9076	3057
748	9091	3046
749	9103	3034
750	9115	3022
751	9126	3009
752	9137	2997
753	9155	2986
754	9167	2974
755	9180	2963
756	9191	2950
757	9201	2937
758	9212	2925
759	9225	2913
760	9238	2901
761	9253	2890
762	9266	2878
763	9278	2866
764	9290	2854
765	9303	2842
766	9322	2832
767	9335	2820
768	9348	2808
769	9359	2795
770	9370	2783
771	9383	2771
772	9401	2760
773	9414	2748
774	9430	2737
775	9442	2725
776	9459	2714
777	9472	2702
778	9483	2690
779	9494	2677
780	9507	2665
781	9522	2654
782	9534	2642
783	9545	2629
784	9557	2617
785	9569	2605
786	9581	2593
787	9595	2581
788	9612	2570
789	9622	2557
790	9635	2545
791	9647	2533
792	9661	2521
793	9673	2509
794	9684	2497
795	9697	2485
796	9708	2472
797	9719	2460
798	9732	2448
799	9743	2435
800	9757	2424
801	9771	2412
802	9781	2399
803	9797	2388
804	9809	2376
805	9820	2363
806	9834	2352
807	9845	2339
808	9858	2327
809	9870	2315
810	9888	2304
811	9899	2292
812	9912	2279
813	9925	2267
814	9938	2255
815	9950	2243
816	9961	2231
817	9972	2218
818	9982	2206
819	9997	2194
820	10010	2182
821	10023	2170
822	10036	2158
823	10049	2146
824	10065	2135
825	10075	2122
826	10086	2110
827	10098	2097
828	10110	2085
829	10121	2073
830	10135	2061
831	10151	2049
832	10163	2037
833	10176	2025
834	10186	2012
835	10196	2000
836	10207	1987
837	10223	1976
838	10237	1964
839	10252	1952
840	10270	1941
841	10288	1930
842	10299	1918
843	10313	1906
844	10330	1894
845	10339	1882
846	10351	1869
847	10367	1858
848	10381	1846
849	10393	1834
850	10404	1821
851	10418	1809
852	10431	1797
853	10446	1785
854	10463	1774
855	10477	1762
856	10491	1750
857	10505	1738
858	10515	1726
859	10531	1714
860	10545	1702
861	10560	1690
862	10572	1678
863	10585	1666
864	10598	1654
865	10611	1641
866	10624	1629
867	10636	1617
868	10650	1605
869	10661	1593
870	10677	1581
871	10690	1569
872	10702	1556
873	10715	1544
874	10733	1533
875	10746	1521
876	10759	1509
877	10771	1496
878	10786	1484
879	10798	1472
880	10811	1460
881	10823	1448
882	10835	1435
883	10850	1423
884	10869	1412
885	10882	1400
886	10895	1388
887	10908	1375
888	10925	1364
889	10940	1352
890	10952	1339
891	10963	1327
892	10976	1315
893	10990	1303
894	11001	1290
895	11011	1278
896	11028	1266
897	11039	1253
898	11050	1241
899	11062	1229
900	11075	1216
901	11089	1204
902	11105	1192
903	11121	1181
904	11133	1168
905	11146	1156
906	11160	1144
907	11176	1132
908	11188	1120
909	11197	1107
910	11209	1095
911	11224	1083
912	11235	1070
913	11246	1058
914	11258	1045
915	11271	1033
916	11284	1021
917	11295	1008
918	11308	996
919	11321	984
920	11332	972
921	11349	960
922	11362	947
923	11374	935
924	11388	923
925	11400	911
926	11412	898
927	11427	886
928	11440	874
929	11456	862
930	11467	849
931	11480	837
932	11493	825
933	11508	813
934	11520	800
935	11530	788
936	11546	776
937	11561	764
938	11575	751
939	11588	739
940	11599	727
941	11611	714
942	11624	702
943	11638	690
944	11652	678
945	11670	666
946	11684	653
947	11696	641
948	11709	629
949	11725	617
950	11739	604
951	11750	592
952	11763	580
953	11776	567
954	11786	555
955	11798	543
956	11811	530
957	11825	518
958	11838	506
959	11850	493
960	11865	481
961	11878	469
962	11892	456
963	11903	444
964	11917	432
965	11931	419
966	11946	407
967	11961	395
968	11976	383
969	11994	370
970	12005	358
971	12021	346
972	12033	333
973	12045	321
974	12058	309
975	12074	296
976	12085	284
977	12098	272
978	12111	259
979	12124	247
980	12141	235
981	12156	222
982	12168	210
983	12181	198
984	12196	185
985	12208	173
986	12223	160
987	12238	148
988	12253	136
989	12267	123
990	12277	111
991	12290	99
992	12306	86
993	12318	74
994	12330	61
995	12345	49
996	12357	37
997	12371	24
998	12384	12
999	12399	0
